Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
15429,1014800_1,None,86.0,,BU00590107
15430,1014850_2,None,14.0,,BU00590107
15502,M000297,None,70.0,,BU00590108
15503,M001642,None,291.0,,BU00590108
15508,1014800_1,None,86.0,,BU00590108
15509,1014850_2,None,13.0,,BU00590108
15595,M000297,None,73.0,,BU00590109
15596,M001642,None,264.0,,BU00590109
15601,1014800_1,None,86.0,,BU00590109
15602,1014850_2,None,11.0,,BU00590109
15688,M000297,None,5583.0,,WK005902
15689,M001642,None,168.0,,WK005902
15694,1014800_1,None,60.0,,WK005902
15695,1014850_2,None,37.0,,WK005902
15793,M000297,None,2663.0,,BU00590200
15794,M001642,None,160.0,,BU00590200
15799,1014800_1,None,52.0,,BU00590200
15800,1014850_2,None,42.0,,BU00590200
15900,M000297,None,1667.0,,BU00590201
15901,M001642,None,159.0,,BU00590201
15906,1014800_1,None,63.0,,BU00590201
15907,1014850_2,None,37.0,,BU00590201
16007,M000297,None,361.0,,BU00590202
16008,M001642,None,157.0,,BU00590202
16013,1014800_1,None,74.0,,BU00590202
16014,1014850_2,None,26.0,,BU00590202
16114,M000297,None,310.0,,BU00590203
16115,M001642,None,161.0,,BU00590203
16120,1014800_1,None,67.0,,BU00590203
16121,1014850_2,None,33.0,,BU00590203
16221,M000297,None,143.0,,BU00590206
16222,M001642,None,238.0,,BU00590206
16227,1014800_1,None,61.0,,BU00590206
16228,1014850_2,None,38.0,,BU00590206
16322,M000297,None,104.0,,BU00590207
16323,M001642,None,256.0,,BU00590207
16328,1014800_1,None,86.0,,BU00590207
16329,1014850_2,None,14.0,,BU00590207
16421,M000297,None,149.0,,BU00590208
16422,M001642,None,257.0,,BU00590208
16427,1014800_1,None,94.0,,BU00590208
16428,1014850_2,None,6.0,,BU00590208
16520,M000297,None,186.0,,BU00590209
16521,M001642,None,252.0,,BU00590209
16526,1014800_1,None,80.0,,BU00590209
16527,1014850_2,None,20.0,,BU00590209
16620,M000297,None,8252.0,,GM0482
16621,M001642,None,198.0,,GM0482
16626,1014800_1,None,60.0,,GM0482
16627,1014850_2,None,40.0,,GM0482
16725,M000297,None,2070.0,,WK048201
16726,M001642,None,217.0,,WK048201
16731,1014800_1,None,64.0,,WK048201
16732,1014850_2,None,36.0,,WK048201
16831,M000297,None,382.0,,BU04820101
16832,M001642,None,279.0,,BU04820101
16837,1014800_1,None,73.0,,BU04820101
16838,1014850_2,None,27.0,,BU04820101
16938,M000297,None,388.0,,BU04820102
16939,M001642,None,139.0,,BU04820102
16944,1014800_1,None,28.0,,BU04820102
16945,1014850_2,None,72.0,,BU04820102
17041,M000297,None,649.0,,BU04820103
17042,M001642,None,177.0,,BU04820103
17047,1014800_1,None,73.0,,BU04820103
17048,1014850_2,None,27.0,,BU04820103
17148,M000297,None,199.0,,BU04820104
17149,M001642,None,265.0,,BU04820104
17154,1014800_1,None,83.0,,BU04820104
17155,1014850_2,None,17.0,,BU04820104
17253,M000297,None,452.0,,BU04820105
17254,M001642,None,270.0,,BU04820105
17259,1014800_1,None,66.0,,BU04820105
17260,1014850_2,None,34.0,,BU04820105
17361,M000297,None,1615.0,,WK048202
17362,M001642,None,189.0,,WK048202
17367,1014800_1,None,59.0,,WK048202
17368,1014850_2,None,41.0,,WK048202
17466,M000297,None,242.0,,BU04820201
17467,M001642,None,270.0,,BU04820201
17472,1014800_1,None,89.0,,BU04820201
17473,1014850_2,None,11.0,,BU04820201
17573,M000297,None,569.0,,BU04820202
17574,M001642,None,158.0,,BU04820202
17579,1014800_1,None,60.0,,BU04820202
17580,1014850_2,None,40.0,,BU04820202
17678,M000297,None,160.0,,BU04820203
17679,M001642,None,241.0,,BU04820203
17684,1014800_1,None,68.0,,BU04820203
17685,1014850_2,None,32.0,,BU04820203
17776,M000297,None,3.0,,BU04820204
17829,M000297,None,441.0,,BU04820205
17830,M001642,None,158.0,,BU04820205
17835,1014800_1,None,38.0,,BU04820205
17836,1014850_2,None,61.0,,BU04820205
17936,M000297,None,200.0,,BU04820206
17937,M001642,None,205.0,,BU04820206
17942,1014800_1,None,56.0,,BU04820206
17943,1014850_2,None,44.0,,BU04820206
18043,M000297,None,3046.0,,WK048203
18044,M001642,None,184.0,,WK048203
18049,1014800_1,None,62.0,,WK048203
18050,1014850_2,None,38.0,,WK048203
18148,M000297,None,358.0,,BU04820301
18149,M001642,None,244.0,,BU04820301
18154,1014800_1,None,83.0,,BU04820301
18155,1014850_2,None,17.0,,BU04820301
18255,M000297,None,220.0,,BU04820302
18256,M001642,None,265.0,,BU04820302
18261,1014800_1,None,98.0,,BU04820302
