Id,Measure,ValueAttribute,Value,StringValue,RegioS
8868,1014800_1,None,39.0,,BU00140100
8869,1014850_2,None,48.0,,BU00140100
8966,M000297,None,2260.0,,BU00140101
8972,1014800_1,None,38.0,,BU00140101
8973,1014850_2,None,51.0,,BU00140101
9067,M000297,None,22.0,,BU00140102
9072,1014800_1,None,36.0,,BU00140102
9073,1014850_2,None,45.0,,BU00140102
9146,M000297,None,1259.0,,BU00140103
9152,1014800_1,None,28.0,,BU00140103
9153,1014850_2,None,71.0,,BU00140103
9248,M000297,None,2182.0,,BU00140104
9254,1014800_1,None,21.0,,BU00140104
9255,1014850_2,None,79.0,,BU00140104
9354,M000297,None,2722.0,,BU00140105
9360,1014800_1,None,24.0,,BU00140105
9361,1014850_2,None,75.0,,BU00140105
9458,M000297,None,43.0,,BU00140106
9463,1014800_1,None,67.0,,BU00140106
9464,1014850_2,None,30.0,,BU00140106
9549,M000297,None,12883.0,,WK001402
9555,1014800_1,None,30.0,,WK001402
9556,1014850_2,None,66.0,,WK001402
9653,M000297,None,3328.0,,BU00140200
9659,1014800_1,None,46.0,,BU00140200
9660,1014850_2,None,51.0,,BU00140200
9759,M000297,None,910.0,,BU00140201
9765,1014800_1,None,21.0,,BU00140201
9766,1014850_2,None,75.0,,BU00140201
9861,M000297,None,3656.0,,BU00140202
9867,1014800_1,None,19.0,,BU00140202
9868,1014850_2,None,73.0,,BU00140202
9963,M000297,None,1926.0,,BU00140203
9969,1014800_1,None,25.0,,BU00140203
9970,1014850_2,None,75.0,,BU00140203
10067,M000297,None,2897.0,,BU00140204
10073,1014800_1,None,28.0,,BU00140204
10074,1014850_2,None,67.0,,BU00140204
10171,M000297,None,137.0,,BU00140205
10177,1014800_1,None,69.0,,BU00140205
10178,1014850_2,None,26.0,,BU00140205
10256,M000297,None,7.0,,BU00140206
10314,M000297,None,22.0,,BU00140207
10319,1014800_1,None,73.0,,BU00140207
10320,1014850_2,None,27.0,,BU00140207
10386,M000297,None,9036.0,,WK001403
10392,1014800_1,None,24.0,,WK001403
10393,1014850_2,None,74.0,,WK001403
10490,M000297,None,1095.0,,BU00140300
10496,1014800_1,None,12.0,,BU00140300
10497,1014850_2,None,88.0,,BU00140300
10592,M000297,None,1908.0,,BU00140301
10598,1014800_1,None,11.0,,BU00140301
10599,1014850_2,None,84.0,,BU00140301
10694,M000297,None,3301.0,,BU00140302
10700,1014800_1,None,21.0,,BU00140302
10701,1014850_2,None,78.0,,BU00140302
10798,M000297,None,2732.0,,BU00140303
10804,1014800_1,None,40.0,,BU00140303
10805,1014850_2,None,58.0,,BU00140303
10902,M000297,None,6727.0,,WK001404
10908,1014800_1,None,25.0,,WK001404
10909,1014850_2,None,70.0,,WK001404
11006,M000297,None,2874.0,,BU00140400
11012,1014800_1,None,34.0,,BU00140400
11013,1014850_2,None,64.0,,BU00140400
11108,M000297,None,1442.0,,BU00140401
11114,1014800_1,None,5.0,,BU00140401
11115,1014850_2,None,90.0,,BU00140401
11210,M000297,None,1268.0,,BU00140402
11216,1014800_1,None,22.0,,BU00140402
11217,1014850_2,None,77.0,,BU00140402
11314,M000297,None,736.0,,BU00140403
11320,1014800_1,None,40.0,,BU00140403
11321,1014850_2,None,60.0,,BU00140403
11415,M000297,None,407.0,,BU00140404
11421,1014800_1,None,21.0,,BU00140404
11422,1014850_2,None,46.0,,BU00140404
11515,M000297,None,4415.0,,WK001405
11521,1014800_1,None,41.0,,WK001405
11522,1014850_2,None,55.0,,WK001405
11619,M000297,None,2646.0,,BU00140500
11625,1014800_1,None,34.0,,BU00140500
11626,1014850_2,None,61.0,,BU00140500
11725,M000297,None,1287.0,,BU00140501
11731,1014800_1,None,44.0,,BU00140501
11732,1014850_2,None,54.0,,BU00140501
11826,M000297,None,26.0,,BU00140502
11831,1014800_1,None,35.0,,BU00140502
11832,1014850_2,None,54.0,,BU00140502
11900,M000297,None,69.0,,BU00140503
11906,1014800_1,None,81.0,,BU00140503
11907,1014850_2,None,17.0,,BU00140503
11993,M000297,None,374.0,,BU00140504
11999,1014800_1,None,72.0,,BU00140504
12000,1014850_2,None,27.0,,BU00140504
12080,M000297,None,12.0,,BU00140505
12133,M000297,None,1.0,,BU00140509
12198,M000297,None,12707.0,,WK001406
12204,1014800_1,None,50.0,,WK001406
12205,1014850_2,None,47.0,,WK001406
12302,M000297,None,1356.0,,BU00140600
12308,1014800_1,None,39.0,,BU00140600
12309,1014850_2,None,57.0,,BU00140600
12408,M000297,None,1684.0,,BU00140601
12414,1014800_1,None,45.0,,BU00140601
12415,1014850_2,None,55.0,,BU00140601
12508,M000297,None,1437.0,,BU00140602
12514,1014800_1,None,58.0,,BU00140602
12515,1014850_2,None,41.0,,BU00140602
12614,M000297,None,478.0,,BU00140603
12620,1014800_1,None,51.0,,BU00140603
12621,1014850_2,None,49.0,,BU00140603
12717,M000297,None,1755.0,,BU00140604
12723,1014800_1,None,57.0,,BU00140604
12724,1014850_2,None,32.0,,BU00140604
12823,M000297,None,1661.0,,BU00140605
12829,1014800_1,None,68.0,,BU00140605
12830,1014850_2,None,31.0,,BU00140605
12927,M000297,None,2817.0,,BU00140606
12933,1014800_1,None,26.0,,BU00140606
12934,1014850_2,None,73.0,,BU00140606
13031,M000297,None,1264.0,,BU00140607
13037,1014800_1,None,75.0,,BU00140607
13038,1014850_2,None,25.0,,BU00140607
13135,M000297,None,255.0,,BU00140608
13141,1014800_1,None,85.0,,BU00140608
13142,1014850_2,None,14.0,,BU00140608
13220,M000297,None,0.0,,BU00140609
13274,M000297,None,8127.0,,WK001407
13280,1014800_1,None,42.0,,WK001407
13281,1014850_2,None,57.0,,WK001407
13377,M000297,None,626.0,,BU00140700
13383,1014800_1,None,58.0,,BU00140700
13384,1014850_2,None,42.0,,BU00140700
13479,M000297,None,1146.0,,BU00140701
13485,1014800_1,None,37.0,,BU00140701
13486,1014850_2,None,63.0,,BU00140701
13579,M000297,None,2556.0,,BU00140702
13585,1014800_1,None,31.0,,BU00140702
13586,1014850_2,None,69.0,,BU00140702
13683,M000297,None,3194.0,,BU00140703
13689,1014800_1,None,44.0,,BU00140703
13690,1014850_2,None,55.0,,BU00140703
13789,M000297,None,564.0,,BU00140704
13795,1014800_1,None,83.0,,BU00140704
13796,1014850_2,None,17.0,,BU00140704
13875,M000297,None,11.0,,BU00140705
13931,M000297,None,30.0,,BU00140709
13936,1014800_1,None,13.0,,BU00140709
13937,1014850_2,None,87.0,,BU00140709
14018,M000297,None,6043.0,,WK001408
14024,1014800_1,None,66.0,,WK001408
14025,1014850_2,None,33.0,,WK001408
14122,M000297,None,814.0,,BU00140800
14128,1014800_1,None,37.0,,BU00140800
14129,1014850_2,None,62.0,,BU00140800
14228,M000297,None,2015.0,,BU00140801
14234,1014800_1,None,53.0,,BU00140801
14235,1014850_2,None,46.0,,BU00140801
14328,M000297,None,63.0,,BU00140802
14334,1014800_1,None,57.0,,BU00140802
14335,1014850_2,None,43.0,,BU00140802
14425,M000297,None,1226.0,,BU00140803
14431,1014800_1,None,85.0,,BU00140803
14432,1014850_2,None,15.0,,BU00140803
14526,M000297,None,825.0,,BU00140804
14532,1014800_1,None,88.0,,BU00140804
14533,1014850_2,None,11.0,,BU00140804
14630,M000297,None,522.0,,BU00140805
14636,1014800_1,None,75.0,,BU00140805
14637,1014850_2,None,25.0,,BU00140805
14734,M000297,None,558.0,,BU00140806
14740,1014800_1,None,76.0,,BU00140806
14741,1014850_2,None,24.0,,BU00140806
14821,M000297,None,20.0,,BU00140807
14826,1014800_1,None,65.0,,BU00140807
14827,1014850_2,None,35.0,,BU00140807
14900,M000297,None,14552.0,,WK001409
14906,1014800_1,None,55.0,,WK001409
14907,1014850_2,None,44.0,,WK001409
15004,M000297,None,1498.0,,BU00140900
15010,1014800_1,None,58.0,,BU00140900
15011,1014850_2,None,42.0,,BU00140900
15110,M000297,None,1409.0,,BU00140901
15116,1014800_1,None,49.0,,BU00140901
15117,1014850_2,None,51.0,,BU00140901
15214,M000297,None,1773.0,,BU00140902
15220,1014800_1,None,36.0,,BU00140902
15221,1014850_2,None,64.0,,BU00140902
15316,M000297,None,905.0,,BU00140903
15322,1014800_1,None,77.0,,BU00140903
15323,1014850_2,None,23.0,,BU00140903
15414,M000297,None,87.0,,BU00140904
15420,1014800_1,None,90.0,,BU00140904
15421,1014850_2,None,10.0,,BU00140904
15513,M000297,None,3085.0,,BU00140905
15519,1014800_1,None,33.0,,BU00140905
15520,1014850_2,None,67.0,,BU00140905
15617,M000297,None,2996.0,,BU00140906
15623,1014800_1,None,57.0,,BU00140906
15624,1014850_2,None,42.0,,BU00140906
15723,M000297,None,2007.0,,BU00140907
15729,1014800_1,None,84.0,,BU00140907
15730,1014850_2,None,16.0,,BU00140907
15827,M000297,None,792.0,,BU00140908
15833,1014800_1,None,84.0,,BU00140908
15834,1014850_2,None,15.0,,BU00140908
15929,M000297,None,4825.0,,GM0015
15935,1014800_1,None,69.0,,GM0015
15936,1014850_2,None,30.0,,GM0015
16032,M000297,None,2156.0,,WK001500
16038,1014800_1,None,63.0,,WK001500
16039,1014850_2,None,36.0,,WK001500
16136,M000297,None,1403.0,,BU00150000
16142,1014800_1,None,56.0,,BU00150000
16143,1014850_2,None,43.0,,BU00150000
16236,M000297,None,282.0,,BU00150001
16242,1014800_1,None,72.0,,BU00150001
16243,1014850_2,None,28.0,,BU00150001
16331,M000297,None,129.0,,BU00150002
16337,1014800_1,None,73.0,,BU00150002
16338,1014850_2,None,27.0,,BU00150002
16425,M000297,None,58.0,,BU00150006
16431,1014800_1,None,79.0,,BU00150006
16432,1014850_2,None,19.0,,BU00150006
16512,M000297,None,87.0,,BU00150007
16518,1014800_1,None,69.0,,BU00150007
16519,1014850_2,None,30.0,,BU00150007
16598,M000297,None,117.0,,BU00150008
16604,1014800_1,None,90.0,,BU00150008
16605,1014850_2,None,9.0,,BU00150008
16687,M000297,None,80.0,,BU00150009
16693,1014800_1,None,80.0,,BU00150009
16694,1014850_2,None,20.0,,BU00150009
16775,M000297,None,434.0,,WK001501
16781,1014800_1,None,76.0,,WK001501
16782,1014850_2,None,23.0,,WK001501
16870,M000297,None,291.0,,BU00150100
16876,1014800_1,None,74.0,,BU00150100
16877,1014850_2,None,26.0,,BU00150100
16966,M000297,None,143.0,,BU00150109
16972,1014800_1,None,83.0,,BU00150109
16973,1014850_2,None,16.0,,BU00150109
17061,M000297,None,1108.0,,WK001502
17067,1014800_1,None,74.0,,WK001502
17068,1014850_2,None,25.0,,WK001502
17163,M000297,None,440.0,,BU00150200
17169,1014800_1,None,66.0,,BU00150200
17170,1014850_2,None,34.0,,BU00150200
17261,M000297,None,97.0,,BU00150201
17267,1014800_1,None,87.0,,BU00150201
17268,1014850_2,None,12.0,,BU00150201
17353,M000297,None,222.0,,BU00150202
17359,1014800_1,None,73.0,,BU00150202
17360,1014850_2,None,27.0,,BU00150202
17449,M000297,None,349.0,,BU00150209
17455,1014800_1,None,82.0,,BU00150209
17456,1014850_2,None,16.0,,BU00150209
17547,M000297,None,1127.0,,WK001503
